capsule,irradiation date,piston-cylinder start date,glass batch,diopside mass (mg),P (GPa),T (C),duration (h),thin section,s (m2/m3),analysis start date,pierce,step heat,diospide mass of furnace fraction (mg),Ar at Pierce,Ar at 150,Ar at Crush,Ar at 400,Ar at 750,Ar at 1050,Ar at 1250,Ar at Fuse,Ar Yield (%),R_Ar_GB,KAr_ITM,KAr_ITM corrected,He at Pierce,He at 150,He at Crush,He at 400,He at 750,He at 1050,He at 1250,He at Fuse,He Yield (%),R_He_GB,KHe_ITM,KHe_ITM corrected
EB027,9/24/2001,5/23/2002,C,114.2,2,1450,70,y,4.30E+04,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
EB028,9/24/2001,3/18/2002,C,106.6,2,1450,20,n,8.90E+04,3/25/2002,y,y,106.6,41.1,3.3,,0.5,17.7,7.1,3.8,11.6,85,2.8,3.20E+04,2.20E+04,0.1175,0.0293,0,0.0578,0.0252,0.0074,0.0017,0.0006,91,2.5,3.60E+04,2.80E+04
EB029,9/24/2001,4/2/2002,C,108.7,2,1450,20,n,8.90E+04,4/18/2002,y,y,108.7,31.3,0.3,,0.3,20.9,18.6,5.6,5.9,83,7.7,1.10E+04,8.40E+03,0.1402,0.0073,0,0.0593,0.0473,0.0052,0.0009,0.0004,99,1.2,7.20E+04,6.80E+04
EB030,9/24/2001,4/4/2002,C,99.1,2,1450,20,n,8.90E+04,4/18/2002,y,y,99.1,35.6,1,2.5,0,9.1,11.3,4.3,20.8,85,1.4,7.20E+04,4.20E+04,0.0704,0.0075,0.0105,0.0296,0.0972,0.0164,0.003,0.0015,89,0.4,2.20E+05,1.40E+05
EB031,9/24/2001,4/8/2002,C,108.9,2,1450,70,n,4.60E+04,4/18/2002,y,y,108.9,22.3,1.2,,0.6,19.7,22.7,4.6,13.9,85,3.5,1.30E+04,9.90E+03,0.0625,0.0082,0,0.1336,0.025,0.0091,0.0012,0.0008,91,3.9,1.20E+04,1.00E+04
EB032,4/19/2002,5/6/2002,C,102.6,2,1450,16,y,1.00E+05,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
EB033,4/19/2002,5/7/2002,C,103.2,2,1450,8,n,1.40E+05,5/22/2002,y,y,103.2,55.4,4.9,,0.3,7,4,3.2,16.7,92,1.2,1.20E+05,8.20E+04,0.1556,0.0135,0,0.0121,0.0274,0.0074,0.0045,0.0012,84,0.6,2.20E+05,8.10E+04
EB034,4/19/2002,5/7/2002,C,103.6,2,1440,12,n,1.10E+05,5/22/2002,y,y,103.6,18.8,0.7,,0.3,24.1,6.5,5.4,39.8,96,0.9,1.20E+05,1.10E+05,0.0574,0.0242,0,0.0878,0.0542,0.0106,0.006,0,91,1.6,7.20E+04,5.90E+04
EB035,4/19/2002,5/10/2002,C,89.5,2,1450,70,n,4.60E+04,5/22/2002,y,y,89.5,14.4,0.5,,0.1,25.8,29,12.1,16.8,99,4,1.10E+04,1.10E+04,0.0653,0.009,0,0.1233,0.0363,0.0045,0,0,90,3.2,1.40E+04,1.20E+04
EB036,4/19/2002,6/7/2002,C,110.7,2,1450,70,y,4.80E+04,6/11/2002,y,y,22.4,17.7,0.4,,1.4,20.4,19.5,17.2,13.3,90,4.4,1.10E+04,9.30E+03,0.0759,0.0109,0,0.1124,0.0056,0,0,0.0075,80,9.4,5.10E+03,3.60E+03
EB037,4/19/2002,6/5/2002,C,90.5,2,1450,20,y,7.90E+04,6/11/2002,y,y,31.4,14.9,0.4,,1.3,33.9,16.1,11.3,20.5,98,3.1,2.60E+04,2.50E+04,0.0712,0.0164,0,0.1444,0.0027,0,0,0,89,60.1,1.30E+03,1.10E+03
EB038,4/19/2002,6/27/2002,C,95.9,2,1450,8,n,1.40E+05,7/18/2002,y,y,95.9,3,0.2,,0.4,9.4,32.4,3.8,40.5,90,1.1,1.20E+05,9.80E+04,0.0179,0.041,0,0.0957,0.0602,0.0147,0.0057,0.0009,89,1.7,8.20E+04,6.80E+04
EB040,4/19/2002,6/28/2002,D,114.5,2,1450,8,y,2.90E+05,7/18/2002,y,y,52.9,1.4,0.1,,0.5,4.3,21.8,4.2,59.9,92,0.5,5.50E+05,4.40E+05,0.0112,0.0245,0,0.0627,0.1099,0.0378,0.006,0.0017,96,0.6,5.10E+05,4.50E+05
EB044,4/19/2002,8/6/2002,D,113,2,1450,180,y,5.50E+04,9/11/2002,y,y,56.8,4.6,1.5,,1.5,10.2,21,23.4,17.4,80,3.3,1.70E+04,1.20E+04,0.0066,0.0095,0,0.0881,0.0344,0,0,0,52,2.8,2.00E+04,8.50E+03
EB048,4/19/2002,8/29/2002,D,116.6,3,1550,134,y,6.60E+04,9/11/2002,y,y,43.5,30.5,0.2,,2.9,21.5,55.5,8.9,9.2,129,9.7,6.80E+03,,0.0531,0.0114,0,0.0526,0.0136,0.0051,0,0,51,3.4,1.90E+04,6.40E+03
EB049,4/19/2002,6/6/2002,E,110.9,2,1450,2,y,1.70E+05,6/11/2002,y,y,16.6,12.6,0.6,,0.9,49.2,5.4,2.6,19.2,91,3.1,5.60E+04,4.80E+04,0.0472,0.0392,0,0.0605,0.0378,0,0,0,70,2.6,6.40E+04,3.60E+04
EB050,4/19/2002,7/21/2002,E,109.4,2,1450,180,y,3.30E+04,7/30/2002,y,y,30.4,82.2,0,,1,4.5,3.2,3.5,8.8,103,1.4,2.40E+04,,0.2189,0.0017,0,0.0194,0.0045,0.009,0.0075,0,99,1,3.30E+04,2.80E+04
EB051,4/19/2002,6/26/2002,E,98.4,,,fail,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
EB052,4/19/2002,7/9/2002,E,114.1,3,1550,9,y,6.70E+04,7/19/2002,y,y,31.5,18.2,0.2,,1,11.7,52.9,6.1,13.8,104,5.2,1.30E+04,,0.0626,0.0545,0,0.1401,0.0087,0.0043,0,0.0014,103,13.5,4.90E+03,
EB053,4/19/2002,7/10/2002,E,98.6,2,1350,20.5,y,1.60E+05,7/19/2002,y,y,38.3,80.6,1.3,,0,1.2,0.6,0,1.6,85,1.9,8.20E+04,1.40E+04,0.234,0.0039,0,0,0.0071,0.0059,0,0,95,0.3,5.40E+05,1.20E+05
EB054,4/19/2002,7/10/2002,E,91.8,,,fail,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
EB058,6/17/2002,5/20/2002,C,89.9,2,1450,20 (pre-xtl),n,,7/18/2002,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
EB059,6/17/2002,6/4/2002,E,101.6,2,1450,20 (pre-xtl),y,,8/4/2002,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
